N,P,K,temperature,humidity,pH,rainfall,label,Plant_Category,EC (mS/cm) Range,Ca (ppm) Range,Mg (ppm) Range,Na (ppm) Range (Max)
39,8,34,18.6378,75.2537,6.4544,48.7654,Rosa damascena ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
100,66,55,12.632,68.1635,7.3919,45.0258,Foeniculum vulgare ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
120,49,52,30.9649,65.3422,7.3579,37.4568,Corchorus olitorius ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
12,10,14,25.0629,50.8506,8.3427,21.7032,Artemisia herba-alba ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
90,68,97,22.3739,72.048,6.7754,79.714,Phaseolus vulgaris ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
159,70,126,25.2064,65.9923,7.6352,26.233,Capsicum annuum var. grossum ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
75,38,47,25.468,63.0269,6.732,43.2117,Pelargonium graveolens ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
55,34,65,15.9193,66.0186,7.8736,38.947,Matricaria chamomilla ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
57,17,24,13.8319,67.4746,6.5332,104.1848,Rosa damascena ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
44,62,103,20.3599,61.956,6.9947,55.0653,Glycine max ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
80,43,59,20.6988,53.3585,8.3129,40.4453,Allium ampeloprasum ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
59,58,50,27.8299,66.4893,7.7065,50.2937,Vigna unguiculata ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
34,28,30,14.7235,49.8407,7.3962,52.9708,Salvia officinalis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
89,45,50,21.9521,63.5043,7.6604,50.3397,Anethum graveolens ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
2,51,42,21.6333,62.0483,7.6552,66.8021,Trigonella foenum-graecum ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
58,40,30,16.3767,60.2685,7.5582,28.3956,Nigella sativa ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
87,44,132,21.7614,61.5895,7.2329,22.4646,Beta vulgaris var. conditiva ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
72,24,77,26.0255,52.3042,7.7709,71.0749,Sesamum indicum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
0,11,25,18.5534,43.1373,8.039,221.5648,Punica granatum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
55,0,32,34.4979,20.1579,7.3771,13.4524,Opuntia ficus-indica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
55,45,63,19.3609,59.6053,7.2197,6.7126,Ammi visnaga ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
128,45,101,18.5912,75.4519,6.7592,76.4355,Apium graveolens ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
68,53,68,16.7005,61.5699,7.5099,36.4423,Brassica rapa ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
17,62,104,24.3711,66.4817,7.2015,95.4011,Glycine max ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
15,16,33,28.1854,50.7945,7.8166,77.9515,Ficus sycomorus ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
82,37,34,25.8151,71.4624,6.6622,79.3972,Ocimum basilicum ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
118,41,12,19.7131,53.7561,8.2479,17.3011,Gossypium barbadense ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
55,21,34,20.4774,77.1241,6.1889,91.3823,Prunus avium ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
91,42,58,18.0902,66.7829,7.6338,59.0366,Beta vulgaris subsp. cicla ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
157,59,125,17.1085,57.5738,6.354,51.0727,Brassica oleracea var. italica ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
44,65,94,14.7253,59.8885,7.9393,28.7897,Lens culinaris ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
134,37,63,28.5307,73.0612,7.4401,96.1954,Corchorus olitorius ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
118,53,110,21.4036,68.4288,7.4304,31.9183,Cucurbita moschata ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
0,10,0,13.5534,68.1634,6.9504,5.1287,Citrus sinensis ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
43,19,25,24.8836,64.3444,7.1703,84.6781,Ficus carica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
103,59,111,25.0478,85.5763,5.9166,63.7611,Zingiber officinale ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
43,44,10,14.6654,65.8679,7.6299,49.4382,Matricaria chamomilla ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
12,56,86,17.5485,60.889,7.4665,0.0,Lens culinaris ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
16,3,30,24.9179,46.4354,7.6521,50.1006,Salvia officinalis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
114,32,45,30.0645,63.8675,7.0572,84.5101,Hibiscus sabdariffa ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
44,34,39,23.2079,52.8484,7.0342,27.3352,Cuminum cyminum ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
145,56,130,22.0928,70.1387,7.9869,55.6743,Capsicum annuum ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
83,53,44,16.912,64.5949,8.3624,57.5926,Brassica nigra ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
86,47,42,26.2402,63.6413,7.1427,75.0727,Ocimum tenuiflorum ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
32,5,19,29.2318,43.235,7.6986,19.9366,Artemisia herba-alba ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
12,23,0,21.5448,75.444,6.4691,140.0506,Citrus limon ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
145,92,141,23.1236,59.762,6.877,68.0646,Solanum tuberosum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
70,37,32,25.7713,84.727,5.6869,137.5268,Cucumis melo var. cantalupensis ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
123,62,56,26.4913,63.4406,8.1505,133.2228,Zea mays var. everta ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
28,10,29,15.8724,50.0424,5.804,33.6729,Thymus vulgaris ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
13,11,31,15.0162,62.0875,7.5463,97.2092,Citrus reticulata ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
48,33,61,28.4203,54.6338,7.1285,30.0408,Vigna unguiculata ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
103,21,27,23.0566,73.0586,7.694,90.9086,Mentha spicata ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
66,46,114,30.6879,87.4923,5.7685,140.7108,Curcuma longa ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
34,9,48,17.4913,75.6344,6.7604,104.5671,Prunus persica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
135,56,107,27.1862,72.0947,7.8908,104.2681,Cucurbita moschata ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
92,49,60,23.6501,80.4304,6.6642,117.1396,Cucumis melo var. cantalupensis ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
101,68,125,26.1922,79.5021,6.8098,62.5045,Colocasia esculenta ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
17,9,25,29.7647,36.1279,8.1371,15.2642,Simmondsia chinensis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
103,37,0,18.7291,78.9232,6.4021,93.9312,Mentha spicata ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
112,38,50,17.4072,68.6136,7.2904,40.7761,Brassica nigra ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
63,36,81,30.4245,65.6637,5.8433,76.0913,Manihot esculenta ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
147,64,89,26.7821,58.9228,7.8503,62.9358,Zea mays ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
45,46,68,25.1815,58.3419,7.028,62.2793,Vigna unguiculata ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
54,44,50,28.1295,75.9868,6.4949,98.9577,Carica papaya ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
15,57,61,16.854,54.7142,7.4653,29.2334,Trigonella foenum-graecum ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
41,24,0,32.0834,64.8074,6.3051,137.4266,Ficus carica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
103,7,47,25.1643,81.7504,6.367,105.9829,Cucumis melo var. cantalupensis ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
118,35,36,28.4634,65.1848,7.3738,24.5154,Oryza sativa ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
14,1,7,15.6972,56.2228,6.7474,102.0188,Citrus aurantium ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
104,41,55,23.9794,86.3221,6.1288,98.1056,Cucumis melo ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
8,13,30,19.8405,53.7923,7.4743,30.372,Olea europaea ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
73,37,66,22.5201,65.6364,6.8297,41.255,Petroselinum crispum ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
130,54,128,23.7642,74.1632,7.0489,19.2881,Brassica oleracea var. capitata ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
57,46,41,19.8664,57.5999,6.9412,25.7031,Cuminum cyminum ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
95,31,79,23.9948,60.6584,7.1836,111.6229,Helianthus annuus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
0,46,94,23.7309,54.3174,8.1107,24.9429,Lupinus albus ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
109,34,47,22.3044,67.7443,6.8961,47.5695,Coriandrum sativum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
73,62,136,22.2837,73.115,5.2956,121.3062,Ipomoea batatas ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
26,18,13,23.7229,61.8067,6.3539,126.0153,Ficus carica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
123,44,131,26.3886,60.1975,7.8349,99.7067,Capsicum annuum ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
120,48,99,22.191,53.0963,6.9346,63.2199,Vitis vinifera ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
159,39,71,34.2316,48.1089,7.8914,89.1423,Sorghum bicolor ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
108,51,118,23.7465,65.5994,7.2523,54.4647,Cucurbita moschata ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
55,40,53,18.3171,67.1045,7.3088,53.5811,Foeniculum vulgare ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
101,67,101,27.2689,78.5468,6.6238,122.9591,Musa acuminata ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
16,21,37,18.8041,38.2771,6.6869,297.2164,Punica granatum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
111,74,125,21.915,67.5351,7.6882,58.0964,Solanum tuberosum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
31,17,24,33.624,24.299,7.3942,24.0761,Simmondsia chinensis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
125,58,48,25.7257,57.7677,7.0782,70.1884,Helianthus annuus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
26,61,48,25.7743,59.8643,7.1952,45.5907,Glycine max ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
119,54,141,24.7065,79.9653,6.2027,86.6028,Cucumis sativus ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
104,34,72,23.7266,63.7913,7.6461,50.8481,Beta vulgaris subsp. cicla ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
0,0,1,33.9118,31.981,6.9904,12.3158,Opuntia ficus-indica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
60,35,60,20.0842,61.0998,7.7099,31.1816,Coriandrum sativum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
49,64,101,15.1806,68.7061,7.5662,35.3342,Vicia faba ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
62,37,47,16.6674,55.1113,7.1098,43.5587,Carum carvi ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
36,2,0,11.4224,75.7489,6.4502,125.4491,Citrus medica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
44,46,65,17.0004,50.7592,8.4523,35.5939,Lupinus albus ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
93,51,91,21.5672,68.6567,7.1515,77.7579,Cucurbita moschata ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
58,56,57,26.153,81.3974,6.4511,124.0512,Carica papaya ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
97,29,86,20.4329,66.9626,7.6766,36.4529,Beta vulgaris subsp. cicla ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
50,52,106,29.1487,55.8072,5.7891,71.0857,Arachis hypogaea ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
89,70,144,29.3632,72.0088,6.2014,108.7591,Colocasia esculenta ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
21,0,23,20.9509,57.0151,7.0279,94.5362,Prunus armeniaca ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
67,66,119,16.2812,72.6068,7.5853,45.3034,Daucus carota ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
43,17,22,27.6394,54.7329,7.178,97.3172,Ficus carica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
35,16,17,16.4178,47.6673,7.1777,6.1781,Rosmarinus officinalis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
25,28,31,31.4054,49.3324,5.7373,109.0052,Mangifera indica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
85,62,62,16.9967,66.4058,7.1511,19.6008,Brassica nigra ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
148,52,150,18.3538,76.7021,7.8674,37.5725,Brassica oleracea var. capitata ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
72,57,26,20.4646,61.3723,6.92,11.0204,Pimpinella anisum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
47,9,4,15.9283,63.9007,6.6528,46.6622,Rosa damascena ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
30,62,71,30.7952,57.0465,7.2371,57.7133,Vigna unguiculata ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
82,35,35,31.8781,59.5745,7.1679,57.9496,Hibiscus sabdariffa ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
89,35,52,19.6702,57.4808,6.6426,46.1816,Linum usitatissimum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
150,48,131,23.719,75.4126,7.3626,87.2634,Capsicum annuum var. grossum ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
61,23,46,17.0289,69.3139,6.7653,45.9053,Rosa gallica ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
113,19,67,26.7637,61.7578,6.6782,62.129,Hibiscus sabdariffa ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
23,9,0,18.1151,76.6518,6.9921,100.0876,Citrus paradisi ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
51,55,61,12.5267,67.7608,7.8165,43.9922,Pimpinella anisum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
72,37,78,11.4712,62.3312,7.6826,50.167,Allium sativum ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
97,29,68,25.9974,74.2695,7.0553,56.9136,Oryza sativa ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
93,51,36,33.9531,49.7971,6.7972,32.6971,Sesamum indicum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
77,40,53,24.4501,65.9484,6.4964,78.6069,Ocimum basilicum ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
52,31,49,18.9293,64.0994,7.4607,27.6379,Origanum majorana ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
85,36,56,17.4368,64.5378,7.2797,38.5892,Linum usitatissimum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
137,51,147,11.0749,67.6865,7.0413,85.7332,Brassica oleracea var. italica ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
0,5,16,15.7918,63.9533,6.2702,129.3614,Citrus aurantium ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
11,32,27,8.3362,70.3508,5.5631,37.1319,Prunus avium ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
106,42,111,23.0984,74.744,6.4204,28.9881,Cucurbita moschata ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
90,58,45,23.7071,85.5518,5.8794,99.9198,Citrullus lanatus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
86,41,59,19.0879,62.701,7.7958,38.1105,Brassica rapa ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
136,34,124,27.5906,65.3879,6.6087,47.6159,Capsicum frutescens ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
52,42,56,22.5634,64.9864,7.9461,40.0595,Ammi majus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
159,64,151,25.1633,80.9177,6.9828,56.4546,Cucumis sativus ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
97,29,46,24.1138,64.1084,6.873,14.4175,Ocimum basilicum ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
53,36,80,20.7904,63.5313,7.4353,23.8053,Ammi majus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
95,44,44,25.6992,48.8108,7.5911,28.9497,Sesamum indicum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
34,64,61,18.9707,59.9467,6.7139,30.5304,Trigonella foenum-graecum ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
9,12,30,24.3348,40.0743,7.6267,27.4935,Artemisia herba-alba ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
10,28,20,16.6515,78.2046,6.8196,109.9431,Prunus domestica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
109,40,62,18.9168,58.0144,8.9357,54.0958,Brassica nigra ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
55,36,75,19.3305,61.0272,6.6489,44.1031,Brassica rapa ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
22,41,57,21.6982,51.4351,7.4421,26.9186,Cuminum cyminum ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
71,49,62,17.7227,59.7332,6.5592,49.5662,Melissa officinalis ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
53,10,55,16.7989,43.6394,7.5613,47.4392,Cuminum cyminum ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
56,24,37,16.9855,60.3013,7.4071,42.7954,Anethum graveolens ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
100,58,136,20.1319,67.3821,7.5796,40.0503,Beta vulgaris var. conditiva ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
13,4,26,19.4155,75.344,6.7867,104.0125,Citrus sinensis ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
30,15,5,19.828,79.4356,7.3687,157.4626,Citrus sinensis ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
50,26,43,19.9924,57.7598,7.1235,61.1357,Origanum majorana ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
132,40,46,29.0611,61.351,8.2334,22.5589,Gossypium barbadense ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
27,14,28,23.4886,69.7324,5.3856,66.9091,Prunus domestica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
105,49,54,26.6913,78.6931,6.2511,132.5371,Citrullus lanatus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
38,45,77,13.5799,52.7568,7.8042,0.0,Lupinus albus ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
47,14,29,12.3101,77.703,5.3003,66.2276,Pyrus communis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
14,14,0,24.1741,51.0803,7.88,37.6096,Rosmarinus officinalis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
27,50,80,29.2721,65.6842,6.6874,20.0755,Vigna unguiculata ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
155,43,120,23.5379,65.1278,7.0262,42.5461,Capsicum annuum var. grossum ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
54,44,46,20.6099,45.4344,6.9388,26.7651,Cuminum cyminum ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
196,65,92,27.3843,61.8275,8.4042,106.5547,Saccharum officinarum ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
38,21,33,13.8546,71.7874,6.4923,40.0113,Rosa damascena ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
52,67,66,29.2227,63.7268,7.8034,56.79,Vigna unguiculata ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
140,55,56,20.6275,57.0383,8.1962,20.4653,Zea mays var. indentata ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
139,43,116,25.7604,82.953,7.3058,22.7846,Capsicum annuum var. grossum ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
